date,confirmed_cases,hosp_cases,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,death,Face_Masks_Required_in_Public,unemployment_rate,mask_required,population,rolling_cc_avg,rolling_cc_avg_diff,population_at_risk,daily_rate_of_infection,change_in_daily_rate_of_infection,rolling_death_avg
2020-07-09,27.0,25.0,,,,,,,,,2.0,Yes,,1,957419,21.857142857142858,1.571428571428573,957397.1428571428,1.641354983302945e-06,4.476442274766299e-05,0.5714285714285714
2020-07-10,20.0,,,,,,,,,,0.0,Yes,,1,957419,21.285714285714285,-0.571428571428573,957397.7142857143,-5.968560013274093e-07,-0.00022382109846303544,0.42857142857142855
2020-07-11,0.0,,,,,,,,,,0.0,Yes,,1,957419,21.285714285714285,0.0,957397.7142857143,0.0,5.968560013274093e-05,0.42857142857142855
2020-07-12,0.0,23.0,,,,,,,,,0.0,Yes,,1,957419,21.285714285714285,0.0,957397.7142857143,0.0,0.0,0.42857142857142855
2020-07-13,48.0,22.0,,,,,,,,,5.0,Yes,,1,957419,18.714285714285715,-2.5714285714285694,957400.2857142857,-2.68584479219171e-06,-0.000268584479219171,1.1428571428571428
2020-07-14,6.0,18.0,,,,,,,,,0.0,Yes,,1,957419,17.571428571428573,-1.1428571428571423,957401.4285714285,-1.1937073715906594e-06,0.00014921374206010505,1.1428571428571428
2020-07-15,33.0,20.0,,,,,,,,,2.0,Yes,,1,957419,19.142857142857142,1.5714285714285694,957399.8571428572,1.6413503299636389e-06,0.00028350577015542986,1.2857142857142858
2020-07-16,34.0,21.0,,,,,,,,,4.0,Yes,,1,957419,20.142857142857142,1.0,957398.8571428572,1.0444967554946498e-06,-5.968535744689891e-05,1.5714285714285714
2020-07-17,42.0,,,,,,,,,,4.0,Yes,,1,957419,23.285714285714285,3.1428571428571423,957395.7142857143,3.2827148648789793e-06,0.00022382181093843297,2.142857142857143
2020-07-18,0.0,,,,,,,,,,0.0,Yes,,1,957419,23.285714285714285,0.0,957395.7142857143,0.0,-0.0003282714864878979,2.142857142857143
2020-07-19,0.0,22.0,,,,,,,,,0.0,Yes,,1,957419,23.285714285714285,0.0,957395.7142857143,0.0,0.0,2.142857142857143
2020-07-20,43.0,20.0,,,,,,,,,4.0,Yes,,1,957419,22.571428571428573,-0.7142857142857117,957396.4285714285,-7.460710035774078e-07,-7.460710035774078e-05,2.0
2020-07-21,11.0,22.0,,,,,,,,,0.0,Yes,,1,957419,23.285714285714285,0.7142857142857117,957395.7142857143,7.460715601997654e-07,0.00014921425637771734,2.0
2020-07-22,41.0,26.0,,,,,,,,,0.0,Yes,,1,957419,24.428571428571427,1.1428571428571423,957394.5714285715,1.193715921275628e-06,4.476443610758626e-05,1.7142857142857142
2020-07-23,20.0,23.0,,,,,,,,,2.0,Yes,,1,957419,22.428571428571427,-2.0,957396.5714285715,-2.088998498308508e-06,-0.0003282714419584136,1.4285714285714286
